type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:48:27,-33.91802524,151.23177772,4.64,48.989,22.180,1.072,295,44,46,,
T,2023-10-13 02:48:28,-33.91802223,151.23176921,4.73,48.995,22.180,0.984,302,44,46,,
T,2023-10-13 02:48:29,-33.91801902,151.23176319,4.79,48.993,22.180,0.764,300,44,46,,
T,2023-10-13 02:48:30,-33.91801602,151.23175839,4.64,49.061,22.180,0.733,295,45,46,,
T,2023-10-13 02:48:31,-33.91801383,151.23175116,4.34,48.907,22.180,0.884,303,45,46,,
T,2023-10-13 02:48:32,-33.91801062,151.23174573,4.31,48.838,22.180,0.645,302,45,46,,
T,2023-10-13 02:48:33,-33.91800889,151.23174113,4.34,48.960,22.180,0.493,296,45,46,,
T,2023-10-13 02:48:34,-33.91800747,151.23173711,4.31,48.871,22.180,0.600,278,45,46,,
T,2023-10-13 02:48:35,-33.91800823,151.23173651,4.23,49.030,22.180,0.433,277,45,46,,
T,2023-10-13 02:48:36,-33.91800876,151.23173781,4.15,49.064,22.180,0.187,276,45,46,,
T,2023-10-13 02:48:37,-33.91800878,151.23173663,4.14,49.014,22.180,0.241,275,45,46,,
T,2023-10-13 02:48:38,-33.91800885,151.23173394,4.24,48.797,22.180,0.328,274,45,46,,
T,2023-10-13 02:48:39,-33.91800838,151.23172533,4.34,48.678,22.180,0.788,278,45,46,,
T,2023-10-13 02:48:40,-33.91800823,151.23171341,4.64,48.479,22.180,0.843,278,44,46,,
T,2023-10-13 02:48:41,-33.91800877,151.23170061,4.89,48.313,22.180,0.737,278,44,46,,
T,2023-10-13 02:48:42,-33.91800732,151.23168994,4.70,48.122,22.180,0.740,279,44,46,,
T,2023-10-13 02:48:43,-33.91800694,151.23167844,4.92,48.008,22.180,0.860,296,44,46,,
T,2023-10-13 02:48:44,-33.91800531,151.23166993,4.71,47.860,22.180,0.829,298,44,46,,
T,2023-10-13 02:48:45,-33.91800169,151.23166122,4.34,47.725,22.181,0.697,296,44,46,,
T,2023-10-13 02:48:46,-33.91799845,151.23165364,4.20,47.685,22.181,0.618,301,44,46,,
T,2023-10-13 02:48:47,-33.91799689,151.23164761,4.05,47.753,22.181,0.643,298,44,46,,
T,2023-10-13 02:48:48,-33.91799467,151.23164118,4.16,47.612,22.181,0.728,281,45,47,,
T,2023-10-13 02:48:49,-33.91799356,151.23163321,4.15,47.289,22.181,0.823,263,45,47,,
T,2023-10-13 02:48:50,-33.91799414,151.23162645,4.33,47.095,22.181,0.720,266,45,47,,
T,2023-10-13 02:48:51,-33.91799446,151.23162038,4.44,46.846,22.181,0.666,264,45,47,,
T,2023-10-13 02:48:52,-33.91799244,151.23160761,4.47,46.679,22.181,1.027,272,45,47,,
T,2023-10-13 02:48:53,-33.91799216,151.23159452,4.71,46.460,22.181,1.024,273,44,47,,
T,2023-10-13 02:48:54,-33.91799212,151.23158263,4.87,46.267,22.181,1.003,262,43,46,,
T,2023-10-13 02:48:55,-33.91799307,151.23157179,4.70,46.046,22.181,0.994,278,43,46,,
T,2023-10-13 02:48:56,-33.91799349,151.23155893,4.70,45.742,22.181,1.004,263,44,46,,
T,2023-10-13 02:48:57,-33.91799388,151.23154755,4.70,45.624,22.181,0.882,268,43,46,,
T,2023-10-13 02:48:58,-33.91799535,151.23153684,4.70,45.479,22.181,0.917,246,44,46,,
T,2023-10-13 02:48:59,-33.91799670,151.23152971,4.70,45.382,22.181,1.125,294,44,46,,
T,2023-10-13 02:49:00,-33.91799406,151.23151910,4.70,45.039,22.181,1.077,268,44,46,,
T,2023-10-13 02:49:01,-33.91799268,151.23150596,4.70,44.907,22.181,1.102,268,44,46,,
T,2023-10-13 02:49:02,-33.91799127,151.23149254,4.70,44.677,22.181,1.134,294,43,46,,
T,2023-10-13 02:49:03,-33.91798910,151.23148070,4.70,44.655,22.181,1.016,279,43,46,,
T,2023-10-13 02:49:04,-33.91798854,151.23147044,4.70,44.556,22.181,0.983,284,43,46,,
T,2023-10-13 02:49:05,-33.91798942,151.23145842,4.70,44.572,22.181,1.043,279,43,46,,
T,2023-10-13 02:49:06,-33.91799175,151.23144775,4.70,44.959,22.181,0.958,285,43,46,,
T,2023-10-13 02:49:07,-33.91799179,151.23143687,4.70,45.086,22.181,0.946,282,44,46,,
T,2023-10-13 02:49:08,-33.91798923,151.23142861,4.70,44.901,22.181,0.769,282,44,46,,
T,2023-10-13 02:49:09,-33.91798655,151.23142048,4.70,44.630,22.181,0.694,292,44,46,,
T,2023-10-13 02:49:10,-33.91798459,151.23141217,4.70,44.539,22.181,0.812,284,44,46,,
T,2023-10-13 02:49:11,-33.91798349,151.23140254,4.70,44.517,22.181,0.907,299,44,46,,
T,2023-10-13 02:49:12,-33.91798194,151.23139359,4.70,44.406,22.181,0.952,290,44,46,,
T,2023-10-13 02:49:13,-33.91797999,151.23138458,4.70,44.235,22.181,1.006,282,43,46,,
T,2023-10-13 02:49:14,-33.91797931,151.23137640,4.70,44.167,22.181,0.973,285,43,46,,
T,2023-10-13 02:49:15,-33.91797736,151.23136664,4.70,44.148,22.181,0.814,285,44,46,,
T,2023-10-13 02:49:16,-33.91797508,151.23135691,4.70,44.031,22.181,0.707,290,44,46,,
T,2023-10-13 02:49:17,-33.91797192,151.23134644,4.70,43.871,22.181,0.890,288,44,46,,
T,2023-10-13 02:49:18,-33.91796947,151.23133680,4.70,43.714,22.181,0.960,275,44,46,,
T,2023-10-13 02:49:19,-33.91796737,151.23132807,4.70,43.651,22.181,0.954,286,44,46,,
T,2023-10-13 02:49:20,-33.91796378,151.23131920,4.70,43.633,22.181,0.989,276,45,46,,
T,2023-10-13 02:49:21,-33.91796095,151.23130961,4.70,43.632,22.181,1.075,280,45,46,,
T,2023-10-13 02:49:22,-33.91795949,151.23129865,4.70,43.565,22.181,1.037,283,45,46,,
T,2023-10-13 02:49:23,-33.91795857,151.23128951,4.70,43.443,22.181,0.886,285,45,46,,
T,2023-10-13 02:49:24,-33.91795503,151.23128095,4.70,43.249,22.181,0.805,287,45,46,,
T,2023-10-13 02:49:25,-33.91795266,151.23127374,4.70,43.431,22.181,0.746,286,45,46,,
T,2023-10-13 02:49:26,-33.91795021,151.23126591,4.70,43.301,22.181,0.831,286,45,46,,
T,2023-10-13 02:49:27,-33.91794632,151.23125842,4.88,43.203,22.181,0.886,285,45,46,,
T,2023-10-13 02:49:28,-33.91794451,151.23125073,4.52,43.167,22.181,0.851,274,45,46,,
T,2023-10-13 02:49:29,-33.91794445,151.23124277,4.21,43.060,22.181,0.783,273,45,46,,
T,2023-10-13 02:49:30,-33.91794382,151.23123445,3.92,42.940,22.181,0.790,275,45,46,,
T,2023-10-13 02:49:31,-33.91794435,151.23122574,3.81,42.842,22.181,0.662,274,45,46,,
T,2023-10-13 02:49:32,-33.91794336,151.23121651,4.08,42.518,22.181,0.821,279,45,46,,
T,2023-10-13 02:49:33,-33.91793834,151.23121564,4.68,42.381,22.182,1.004,281,44,46,,
T,2023-10-13 02:49:34,-33.91793210,151.23120998,4.95,42.218,22.182,0.932,283,44,46,,
T,2023-10-13 02:49:35,-33.91792484,151.23120443,4.70,42.093,22.182,0.968,283,45,46,,
T,2023-10-13 02:49:36,-33.91791999,151.23119898,4.70,42.041,22.182,0.832,281,45,46,,
T,2023-10-13 02:49:37,-33.91791498,151.23119085,4.70,42.353,22.182,0.714,282,45,46,,
T,2023-10-13 02:49:38,-33.91791063,151.23118378,4.70,42.493,22.182,0.781,281,45,46,,
T,2023-10-13 02:49:39,-33.91790620,151.23118031,4.70,42.458,22.182,0.832,292,45,46,,
T,2023-10-13 02:49:40,-33.91789880,151.23118906,4.90,42.254,22.182,0.858,241,45,46,,
T,2023-10-13 02:49:41,-33.91790027,151.23119622,4.71,42.202,22.182,0.923,235,45,46,,
T,2023-10-13 02:49:42,-33.91790556,151.23120455,4.50,42.210,22.182,0.963,227,45,46,,
T,2023-10-13 02:49:43,-33.91790935,151.23121051,4.50,42.172,22.182,0.984,208,45,46,,
T,2023-10-13 02:49:44,-33.91791313,151.23121646,4.35,42.157,22.182,1.038,182,45,46,,
T,2023-10-13 02:49:45,-33.91791644,151.23122418,4.50,42.339,22.182,0.893,175,45,46,,
T,2023-10-13 02:49:46,-33.91791858,151.23122755,4.19,42.316,22.182,0.761,186,45,46,,
T,2023-10-13 02:49:47,-33.91792171,151.23123246,4.07,42.462,22.182,0.815,180,45,46,,
T,2023-10-13 02:49:48,-33.91792502,151.23123767,3.97,42.666,22.182,0.709,177,45,46,,
